,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species
KP165389,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Apusomonadida_2925400,Apusomonadidae_172820,Thecamonas_877559,Thecamonas trahens_529818
MT732097,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Laminaria_33637,Laminaria rodriguezii_1740620
KU164874,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Chordariaceae_66220,Pleurocladia_246120,Pleurocladia lacustris_246121
MZ488953,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria marginata_98221
KY084912,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum natans_143165
OK235333,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum kjellmanianum_2886216
KC353357,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Histionidae_556285,Reclinomonas_48482,Reclinomonas americana_48483
MW682828,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum mcclurei_127576
KU255794,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Coccophora_74098,Coccophora langsdorfii_74099
AJ344328,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Laminaria_33637,Laminaria digitata_80365
MZ156048,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Lessoniaceae_35120,Ecklonia_105406,Ecklonia arborea_1849970
KJ867411,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,,,Cyanoptyche_77921,Cyanoptyche gloeocystis_77922
MT732098,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Laminaria_33637,Laminaria solidungula_309363
KJ946428,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum fusiforme_590727
KC568461,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis gaditana_72520
KM675818,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina latissima_309358
MZ156057,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Lessoniaceae_35120,Lessonia_105411,Lessonia variegata_549686
JN099684,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina longissima_416841
MT919636,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,,Cyanophoraceae_33678,Cyanophora_2761,Cyanophora biloba_1489483
MH844545,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Pyrenomonadales_589342,Geminigeraceae_589343,Guillardia_55528,Guillardia theta_55529
AY494079,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Fucaceae_3010,Fucus_3011,Fucus vesiculosus_49266
MG202008,Eukaryota incertae sedis_2683617,Eukaryota_2759,,no_phylum,,,,,Ancoracysta_2056028,Ancoracysta twista_2044563
KU501220,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Goniochloridales_1905220,,Trachydiscus_1032744,Trachydiscus minutus_1032745
KM210510,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum hemiphyllum_127544
MT872227,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis limnetica_120807
MW682826,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum phyllocystum_1219119
KJ867410,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,Gloeochaetales_38262,Gloeochaetaceae_38266,Gloeochaete_38268,Gloeochaete wittrockiana_38269
MZ488955,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria esculenta_2889
MW438350,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Pelagophyceae_35675,Pelagomonadales_54409,,Aureoumbra_44057,Aureoumbra lagunensis_44058
AF222718,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Synurophyceae_33859,Synurales_420622,Mallomonadaceae_420617,Synura_2991,Synura synuroidea_47573
HQ849544,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,,Cyanophoraceae_33678,Cyanophora_2761,Cyanophora paradoxa_2762
LC515367,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Cyathomonadacea_2698752,,Hemiarma_1914292,Hemiarma marina_1848298
KF319031,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Undaria_74380,Undaria pinnatifida_74381
